identifier,gene,group
mAimeC,Pla2g2C,C mammals
mAimeF,Pla2g2F,F mammals
mAimeDb,Pla2g2D1,D mammals
mAimeDa,Pla2g2D1,D mammals
mAimeV,Pla2g2V1,V mammals
mAimeE,Pla2g2E,E mammals
mAifuE,Pla2g2E,E mammals
mAifuV,Pla2g2V1,V mammals
mAifuD,Pla2g2D1,D mammals
mAifuF,Pla2g2F,F mammals
mAifuC,Pla2g2C,C mammals
cAlmiC,Pla2g2C,C crocodile
cAlmiD3,Pla2g2D3,D3 reptilia
cAlmiD1,Pla2g2D1,D1 reptilia
cAlmiE,Pla2g2E,E crocodile
cAlsiD1,Pla2g2D1,D1 reptilia
cAlsiD3,Pla2g2D3,D3 reptilia
cAlsiC,Pla2g2C,C crocodile
bAnplC,Pla2g2C,C birds
bAnplD,Pla2g2D3,D birds
bAnplB,Pla2g2B,B birds
bAnplE,Pla2g2E,E birds
bAncyE,Pla2g2E,E birds
bAncyB,Pla2g2B,B birds
bAncyD,Pla2g2D3,D birds
bAncyC,Pla2g2C,C birds
bApfoE,Pla2g2E,E birds
bApfoB,Pla2g2B,B birds
bApfoD,Pla2g2D3,D birds
bApfoC,Pla2g2C,C birds
bApauC,Pla2g2C,C birds
bAqchB,Pla2g2B,B birds
bAqchD,Pla2g2D3,D birds
bAqchC,Pla2g2C,C birds
bBareC,Pla2g2C,C birds
bBareD,Pla2g2D3,D birds
bBareB,Pla2g2B,B birds
bBareE,Pla2g2E,E birds
mBibiE,Pla2g2E,E mammals
mBibiA2,Pla2g2A,A mammals
mBibiA3,Pla2g2A,A mammals
mBibiA4,Pla2g2A,A mammals
mBibiDa,Pla2g2D1,D mammals
mBibiDb,Pla2g2D1,D mammals
mBibiF,Pla2g2F,F mammals
mBibiC,Pla2g2C,C mammals
sBocoGo,Pla2g2G0,G squamates
sBocoD,Pla2g2D1,D squamates
sBocoE,Pla2g2E,E serpentes
sBocoF,Pla2g2F,F squamates
mBotaC,Pla2g2C,C mammals
mBotaF,Pla2g2F,F mammals
mBotaDb,Pla2g2D1,D mammals
mBotaDa,Pla2g2D1,D mammals
mBotaV,Pla2g2V1,V mammals
mBotaA5,Pla2g2A,A mammals
mBotaA3,Pla2g2A,A mammals
mBotaA,Pla2g2A,A mammals
mCaluC,Pla2g2C,C mammals
mCaluF,Pla2g2F,F mammals
mCaluD1,Pla2g2D1,D mammals
mCaluV,Pla2g2V1,V mammals
mCaluE,Pla2g2E,E mammals
mCahiE,Pla2g2E,E mammals
mCahiA,Pla2g2A,A mammals
mCahiA2,Pla2g2A,A mammals
mCahiA4,Pla2g2A,A mammals
mCahiA5,Pla2g2A,A mammals
mCahiV,Pla2g2V1,V mammals
mCahiDa,Pla2g2D1,D mammals
mCahiDb,Pla2g2D1,D mammals
mCahiF,Pla2g2F,F mammals
mCahiC,Pla2g2C,C mammals
cChmyD1,Pla2g2D1,D1 reptilia
cChmyD3,Pla2g2D3,D3 reptilia
cChmyF,Pla2g2F,F turtle
mChlaE,Pla2g2E,E mammals
mChlaA2,Pla2g2A,A mammals
mChlaA3,Pla2g2A,A mammals
mChlaA4,Pla2g2A,A mammals
mChlaV,Pla2g2V1,V mammals
mChlaD,Pla2g2D1,D mammals
mChlaF,Pla2g2F,F mammals
mChlaC,Pla2g2C,C mammals
bChmaE,Pla2g2E,E birds
bChmaB,Pla2g2B,B birds
bChmaD,Pla2g2D3,D birds
bChmaC,Pla2g2C,C birds
cChpiD1,Pla2g2D1,D1 reptilia
cChpiD2,Pla2g2D2,D2 reptilia
cChpiD3,Pla2g2D3,D3 reptilia
cChpiF,Pla2g2F,F turtle
mCocrE,Pla2g2E,E mammals
mCocrA2,Pla2g2A,A mammals
mCocrA3,Pla2g2A,A mammals
mCocrV,Pla2g2V1,V mammals
mCocrD,Pla2g2D1,D mammals
mCocrF,Pla2g2F,F mammals
bCocoD,Pla2g2D3,D birds
bCocoE,Pla2g2E,E birds
cCrpoE,Pla2g2E,E crocodile
cCrpoD1,Pla2g2D1,D1 reptilia
cCrpoD3,Pla2g2D3,D3 reptilia
cCrpoC,Pla2g2C,C crocodile
sCradE,Pla2g2E,E serpentes
sCradGc,Pla2g2Gc,G squamates
sCradGa,Pla2g2Ga,G squamates
sCradD,Pla2g2D1,D squamates
sCradF,Pla2g2F,F squamates
sCratE,Pla2g2E,E serpentes
sCratGb,Pla2g2Gb,G squamates
sCratGk49,Pla2g2Gk,G squamates
sCratGc,Pla2g2Gc,G squamates
sCratGa,Pla2g2Ga,G squamates
sCratF,Pla2g2F,F squamates
sCrheAE,Pla2g2E,E serpentes
sCrheAGb,Pla2g2Gb,G squamates
sCrheAGc1,Pla2g2Gc,G squamates
sCrheAGa1,Pla2g2Ga,G squamates
sCrheAGc2,Pla2g2Gc,G squamates
sCrheAGa2,Pla2g2Ga,G squamates
sCrheAF,Pla2g2F,F squamates
sCrheBF,Pla2g2F,F squamates
sCrheBGa1,Pla2g2Ga,G squamates
sCrheBE,Pla2g2E,E serpentes
sCrhoAF,Pla2g2F,F squamates
sCrhoAGa2,Pla2g2Ga,G squamates
sCrhoAGb,Pla2g2Gb,G squamates
sCrhoAGc1,Pla2g2Gc,G squamates
sCrhoAGa1,Pla2g2Ga,G squamates
sCrhoBE,Pla2g2E,E serpentes
sCrhoBGc1,Pla2g2Gc,G squamates
sCrhoBD,Pla2g2D1,D squamates
sCrhoBF,Pla2g2F,F squamates
sCrhoGa,Pla2g2Ga,G squamates
sCrhoGc,Pla2g2Gc,G squamates
sCrscAE,Pla2g2E,E serpentes
sCrscAGb,Pla2g2Gb,G squamates
sCrscAGc1,Pla2g2Gc,G squamates
sCrscAGa1,Pla2g2Ga,G squamates
sCrscAGc2,Pla2g2Gc,G squamates
