identifier,gene,group
sCrscAGa2,Pla2g2Ga,G squamates
sCrscAF,Pla2g2F,F squamates
sCrscBE,Pla2g2E,E serpentes
sCrscBGb,Pla2g2Gb,G squamates
sCrscBGk49,Pla2g2Gk,G squamates
sCrscBGc1,Pla2g2Gc,G squamates
sCrscBGa1,Pla2g2Ga,G squamates
sCrscBF,Pla2g2F,F squamates
bCucaC,Pla2g2C,C birds
bCucaD3,Pla2g2D3,D birds
bCucaB,Pla2g2B,B birds
mDanoA,Pla2g2A,A mammals
mDanoV,Pla2g2V1,V mammals
mDanoD,Pla2g2D1,D mammals
mDanoF,Pla2g2F,F mammals
mDanoC,Pla2g2C,C mammals
sDeacF,Pla2g2F,F squamates
sDeacGa,Pla2g2Ga,G squamates
sDeacGc,Pla2g2Gc,G squamates
sDeacGk49,Pla2g2Gk,G squamates
sDeacGb,Pla2g2Gb,G squamates
sDeacE,Pla2g2E,E serpentes
mEledF,Pla2g2F,F mammals
mEledD1,Pla2g2D1,D mammals
mEledV,Pla2g2V1,V mammals
mEledA3,Pla2g2A,A mammals
mEledA2,Pla2g2A,A mammals
mEledA1,Pla2g2A,A mammals
mEledE,Pla2g2E,E mammals
mEnluC,Pla2g2C,C mammals
mEnluF,Pla2g2F,F mammals
mEnluD1,Pla2g2D1,D mammals
mEnluV,Pla2g2V1,V mammals
mEnluE,Pla2g2E,E mammals
mEqcaC,Pla2g2C,C mammals
mEqcaF,Pla2g2F,F mammals
mEqcaD,Pla2g2D1,D mammals
mEqcaV,Pla2g2V1,V mammals
mEqcaA,Pla2g2A,A mammals
mEqcaE,Pla2g2E,E mammals
mEreuC,Pla2g2C,C mammals
mEreuF,Pla2g2F,F mammals
mEreuD1,Pla2g2D1,D mammals
mEreuV,Pla2g2V1,V mammals
mEreuA15,Pla2g2A,A mammals
mEreuA14,Pla2g2A,A mammals
mEreuA13,Pla2g2A,A mammals
mEreuA12,Pla2g2A,A mammals
mEreuA11,Pla2g2A,A mammals
mEreuA10,Pla2g2A,A mammals
mEreuA9,Pla2g2A,A mammals
mEreuA8,Pla2g2A,A mammals
mEreuA7,Pla2g2A,A mammals
mEreuA6,Pla2g2A,A mammals
mEreuA5,Pla2g2A,A mammals
mEreuA3,Pla2g2A,A mammals
mEreuA2,Pla2g2A,A mammals
mEreuA1,Pla2g2A,A mammals
mEreuE,Pla2g2E,E mammals
mFecaE,Pla2g2E,E mammals
mFecaV,Pla2g2V1,V mammals
mFecaD,Pla2g2D1,D mammals
mFecaF,Pla2g2F,F mammals
bGagaE,Pla2g2E,E birds
bGagaB,Pla2g2B,B birds
bGagaD,Pla2g2D3,D birds
bGagaC,Pla2g2C,C birds
cGavganC,Pla2g2C,C crocodile
cGavganD3,Pla2g2D3,D3 reptilia
cGavganD1,Pla2g2D1,D1 reptilia
cGavganE,Pla2g2E,E crocodile
cGoagF,Pla2g2F,F turtle
cGoagD3,Pla2g2D3,D3 reptilia
cGoagD2,Pla2g2D2,D2 reptilia
cGoagD1,Pla2g2D1,D1 reptilia
cGoagE,Pla2g2E,E turtle
bHaleB,Pla2g2B,B birds
bHaleD,Pla2g2D3,D birds
bHaleC,Pla2g2C,C birds
mHeglE,Pla2g2E,E mammals
mHeglA1,Pla2g2A,A mammals
mHeglA2,Pla2g2A,A mammals
mHeglA3,Pla2g2A,A mammals
mHeglV,Pla2g2V,V mammals
mHeglD,Pla2g2D1,D mammals
mHeglF,Pla2g2F,F mammals
mHosaE,Pla2g2E,E mammals
mHosaA,Pla2g2A,A mammals
mHosaV,Pla2g2V1,V mammals
mHosaD,Pla2g2D1,D mammals
mHosaF,Pla2g2F,F mammals
sLabiE,Pla2g2E,E squamates
sLabiGo,Pla2g2G0,G squamates
sLabiD,Pla2g2D1,D squamates
sLabiF,Pla2g2F,F squamates
sLaviF,Pla2g2F,F squamates
sLaviD,Pla2g2D1,D squamates
sLaviGo,Pla2g2G0,G squamates
sLaviE,Pla2g2E,E squamates
mLoafC,Pla2g2C,C mammals
mLoafF,Pla2g2F,F mammals
mLoafD,Pla2g2D1,D mammals
mLoafV,Pla2g2V1,V mammals
mLoafA2,Pla2g2A,A mammals
mLoafA1,Pla2g2A,A mammals
mLoafE,Pla2g2E,E mammals
mMamaF,Pla2g2F,F mammals
mMamaD,Pla2g2D1,D mammals
mMamaV,Pla2g2V1,V mammals
mMamaA1,Pla2g2A,A mammals
mMamaE,Pla2g2E,E mammals
mMimuE,Pla2g2E,E mammals
mMimuA,Pla2g2A,A mammals
mMimuV,Pla2g2V1,V mammals
mMimuD,Pla2g2D1,D mammals
mMimuF,Pla2g2F,F mammals
mMimuC,Pla2g2C,C mammals
mModoC,Pla2g2C,C mammals
mModoF,Pla2g2F,F mammals
mModoD,Pla2g2D1,D mammals
mModoV2,Pla2g2V2,V mammals
mModoV1,Pla2g2V2,V mammals
mModoE,Pla2g2E,E mammals
mMumuC,Pla2g2C,C mammals
mMumuF,Pla2g2F,F mammals
mMumuD1,Pla2g2D1,D mammals
mMumuV1,Pla2g2V1,V mammals
mMumuA,Pla2g2A,A mammals
mMumuE,Pla2g2E,E mammals
mMupuC,Pla2g2C,C mammals
mMupuF,Pla2g2F,F mammals
mMupuD,Pla2g2D1,D mammals
mMupuV,Pla2g2V1,V mammals
mMupuE,Pla2g2E,E mammals
mMyluE,Pla2g2E,E mammals
mMyluA1,Pla2g2A,A mammals
mMyluA2,Pla2g2A,A mammals
mMyluA4,Pla2g2A,A mammals
mMyluV,Pla2g2V1,V mammals
mMyluD,Pla2g2D1,D mammals
mMyluF,Pla2g2F,F mammals
mMyluC,Pla2g2C,C mammals
bNaauB,Pla2g2B,B birds
bNaauD,Pla2g2D3,D birds
bNaauC,Pla2g2C,C birds
mNescE,Pla2g2E,E mammals
mNescV,Pla2g2V1,V mammals
mNescD,Pla2g2D1,D mammals
mNescF,Pla2g2F,F mammals
sNoscF,Pla2g2F,F squamates
sNoscD,Pla2g2D1,D squamates
sNoscGc,Pla2g2Gc,G squamates
sNoscE,Pla2g2E,E serpentes
mOcprC,Pla2g2C,C mammals
mOcprF,Pla2g2F,F mammals
mOcprD,Pla2g2D1,D mammals
mOcprV,Pla2g2V1,V mammals
mOcprA3,Pla2g2A,A mammals
mOcprA2,Pla2g2A,A mammals
mOcprA1,Pla2g2A,A mammals
mOcprE,Pla2g2E,E mammals
mOdviC,Pla2g2C,C mammals
mOdviF,Pla2g2F,F mammals
mOdviD,Pla2g2D1,D mammals
mOdviV,Pla2g2V1,V mammals
mOdviA3,Pla2g2A,A mammals
mOdviA2,Pla2g2A,A mammals
mOdviA1,Pla2g2A,A mammals
mOdviE,Pla2g2E,E mammals
sOphaE,Pla2g2E,E serpentes
sOphaGc,Pla2g2Gc,G squamates
sOphaD,Pla2g2D1,D squamates
sOphaF,Pla2g2F,F squamates
sOpgrF,Pla2g2F,F squamates
sOpgrDb,Pla2g2D1,D squamates
sOpgrG0,Pla2g2G0,G squamates
mOpgrE,Pla2g2E,E mammals
bOphoC,Pla2g2C,C birds
bOphoD,Pla2g2D3,D birds
bOphoE,Pla2g2E,E birds
mOrorE,Pla2g2E,E mammals
mOrorV,Pla2g2V1,V mammals
mOrorD,Pla2g2D1,D mammals
mOrorC,Pla2g2C,C mammals
mOranF,Pla2g2F,F mammals
mOranD,Pla2g2D1,D mammals
mOran4,Pla2g2D1,D mammals
mOran3,Pla2g2,pre-V
mOran2,Pla2g2D2,D mammals
mOranE,Pla2g2E,E mammals
mOrcuC,Pla2g2C,C mammals
mOrcuF,Pla2g2F,F mammals
mOrcuD,Pla2g2D1,D mammals
mOrcuV,Pla2g2V1,V mammals
mOrcuA4,Pla2g2A,A mammals
mOrcuA3,Pla2g2A,A mammals
mOrcuA2,Pla2g2A,A mammals
mOrcuA,Pla2g2A,A mammals
mOrcuE,Pla2g2E,E mammals
mOvarC,Pla2g2C,C mammals
mOvarF,Pla2g2F,F mammals
mOvarD,Pla2g2D1,D mammals
mOvarA3,Pla2g2A,A mammals
mOvarA2,Pla2g2A,A mammals
mOvarA1,Pla2g2A,A mammals
mPatiC,Pla2g2C,C mammals
mPatiF,Pla2g2F,F mammals
mPatiD,Pla2g2D1,D mammals
mPatiV,Pla2g2V1,V mammals
mPatiE,Pla2g2E,E mammals
mPahoC,Pla2g2C,C mammals
mPahoF,Pla2g2F,F mammals
mPahoD,Pla2g2D1,D mammals
mPahoV,Pla2g2V1,V mammals
mPahoA5,Pla2g2A,A mammals
mPahoA3,Pla2g2A,A mammals
mPahoA1,Pla2g2A,A mammals
mPahoE,Pla2g2E,E mammals
sPapiE,Pla2g2E,E squamates
sPapiG0,Pla2g2G0,G squamates
sPapiF,Pla2g2F,F squamates
bPafaC,Pla2g2C,C birds
bPafaD,Pla2g2D3,D birds
bPafaB,Pla2g2B,B birds
cPesiF,Pla2g2F,F turtle
cPesiD3,Pla2g2D3,D3 reptilia
cPesiD2,Pla2g2D2,D2 reptilia
cPesiD1,Pla2g2D1,D1 reptilia
cPesiE,Pla2g2E,E turtle
mPhciC,Pla2g2C,C mammals
mPhciF,Pla2g2F,F mammals
mPhciDb,Pla2g2D1,D mammals
mPhciDa,Pla2g2D1,D mammals
mPhciV4,Pla2g2V2,V mammals
mPhciV3,Pla2g2V2,V mammals
mPhciV2,Pla2g2V2,V mammals
mPhciV1,Pla2g2V2,V mammals
mPhciE,Pla2g2E,E mammals
sPoviF,Pla2g2F,F squamates
sPoviD,Pla2g2D1,D squamates
sPoviG0,Pla2g2G0,G squamates
sPoviE,Pla2g2E,E squamates
sPrflGck,Pla2g2G,G squamates
sPrflGk49,Pla2g2Gk,G squamates
sPrflGb,Pla2g2Gb,G squamates
sPrflGa2,Pla2g2Ga,G squamates
sPrflGa1,Pla2g2Ga,G squamates
sPrflE,Pla2g2E,E serpentes
sPrmuE,Pla2g2E,E serpentes
sPrmuGb,Pla2g2Gb,G squamates
sPrmuGk49,Pla2g2Gk,G squamates
sPrmuGck,Pla2g2G,G squamates
sPrmuGa1,Pla2g2Ga,G squamates
sPrmuGa2,Pla2g2Ga,G squamates
sPrmuF,Pla2g2F,F squamates
sPsteF,Pla2g2F,F squamates
sPsteD,Pla2g2D1,D squamates
sPsteGc,Pla2g2Gc,G squamates
sPsteE,Pla2g2E,E serpentes
bPskrE,Pla2g2E,E birds
bPskrB,Pla2g2B,B birds
bPskrD,Pla2g2D3,D birds
bPskrC,Pla2g2C,C birds
mPtvaE,Pla2g2E,E mammals
mPtvaV,Pla2g2V1,V mammals
mPtvaD,Pla2g2D1,D mammals
mPtvaF,Pla2g2F,F mammals
mPtvaC,Pla2g2C,C mammals
bPyadC,Pla2g2C,C birds
bPyadD,Pla2g2D3,D birds
bPyadB,Pla2g2B,B birds
sPybiE,Pla2g2E,E serpentes
sPybiF,Pla2g2F,F squamates
mSahaC,Pla2g2C,C mammals
mSahaF,Pla2g2F,F mammals
mSahaD,Pla2g2D1,D mammals
mSahaV5,Pla2g2V1,V mammals
mSahaV4,Pla2g2V2,V mammals
mSahaV2,Pla2g2V1,V mammals
mSahaE,Pla2g2E,E mammals
mSahaV1,Pla2g2V2,V mammals
bSecoE,Pla2g2E,E birds
bSecoD,Pla2g2D3,D birds
mSoarE,Pla2g2E,E mammals
mSoarA2,Pla2g2A,A mammals
mSoarA3,Pla2g2A,A mammals
mSoarV,Pla2g2V1,V mammals
mSoarD,Pla2g2D1,D mammals
mSoarF,Pla2g2F,F mammals
mSoarC,Pla2g2C,C mammals
bStocE,Pla2g2E,E birds
bStocB,Pla2g2B,B birds
bStocD,Pla2g2D3,D birds
bStocC,Pla2g2C,C birds
sThbaF,Pla2g2F,F squamates
sThbaD,Pla2g2D1,D squamates
sThbaGc,Pla2g2Gc,G squamates
sThbaE,Pla2g2E,E serpentes
mTrmaC,Pla2g2C,C mammals
mTrmaF,Pla2g2F,F mammals
mTrmaD,Pla2g2D1,D mammals
mTrmaV,Pla2g2V1,V mammals
mTrmaA2,Pla2g2A,A mammals
mTrmaE,Pla2g2E,E mammals
bUrpeC,Pla2g2C,C birds
bUrpeD,Pla2g2D3,D birds
bUrpeB,Pla2g2B,B birds
mUrmaC,Pla2g2C,C mammals
mUrmaD,Pla2g2D1,D mammals
mUrmaV,Pla2g2V1,V mammals
sVibeEa,Pla2g2E,E serpentes
sVibeGa1,Pla2g2Ga,G squamates
sVibeGa2,Pla2g2Ga,G squamates
sVibeGa4,Pla2g2Ga,G squamates
sVibeF,Pla2g2F,F squamates
Xela,Pla2g2,pre g2
